,cell_area_ratio,white_area_ratio,e2e_n,e2e_distance_mean,e2e_distance_std,e2e_eu_distance_mean,e2e_eu_distance_std,e2e_distance_ratio_mean,e2e_distance_ratio_std,j2e_n,j2e_distance_mean,j2e_distance_std,j2e_eu_distance_mean,j2e_eu_distance_std,j2e_distance_ratio_mean,j2e_distance_ratio_std,j2j_n,j2j_distance_mean,j2j_distance_std,j2j_eu_distance_mean,j2j_eu_distance_std,j2j_distance_ratio_mean,j2j_distance_ratio_std,nodes_n,nodes_max,nodes_mean,nodes_std,branch_thickness_medial_axis_mean,branch_thickness_medial_axis_std,branch_thickness_voronoi_mean,branch_thickness_voronoi_std,texture_std_filter_mean,texture_std_filter_std,texture_entropy_filter_mean,texture_entropy_filter_std
DNMBP_A3_NS,0.6682609981960721,0.23349507649739584,1,14.828427124746193,,14.142135623730953,,0.9537178491527308,,250,19.101474383433604,23.839126610034867,17.58314533535034,20.99421166339648,0.9401186011455674,0.03840290787134556,604,63.54115237724338,49.61631537558377,57.56701988997591,43.423123392858415,0.921687352704549,0.042036175815202415,1525,5,3.1337704918032787,0.34423668913359573,7.585024833679199,4.891504764556885,7.899887561798096,4.673025131225586,1153.9827880859375,755.1669311523438,3.5636637210845947,0.5836060047149658
NegsiRNA_G3_NS,0.6753294203016493,0.23950576782226562,1,1.0,,1.0,,1.0,,261,16.85176423940648,14.987525013775537,15.697006502223665,13.601350463587485,0.9402415755601733,0.04235030327498069,565,64.83460382468773,45.26155177318978,59.46708536077509,40.739601623253584,0.9274933438721764,0.04058847848497024,1432,5,3.1215083798882683,0.341351182535004,8.210472106933594,4.796998977661133,8.56097412109375,4.303048133850098,1393.3372802734375,943.2880859375,3.727768898010254,0.5859094262123108
NegsiRNA_B1_NO,0.5859116448296441,0.33423105875651044,0,,,,,,,337,19.538865880876333,16.28937298931107,18.26085037492959,14.35977834638373,0.9448220700391168,0.04612791326125443,751,54.86826154236295,37.26145129102529,50.692851362371194,33.8799766475906,0.9334723615614741,0.03361554922848793,1891,5,3.13590692755156,0.3577885537443969,10.39243221282959,6.126671314239502,11.284369468688965,5.9059858322143555,1493.7105712890625,909.2442016601562,3.8428313732147217,0.5320553779602051
ADAM9_C3b_NO,0.6553741031222873,0.26106686062282985,2,8.414213562373096,7.656854249492383,7.520797289396148,6.3933728394035585,0.9353927771454089,0.09136841078822362,379,19.83211617931516,19.071950440642492,18.31212396310364,16.6916330784908,0.9414381769797339,0.03665716655812702,635,55.598468386878714,41.390249156135795,50.72724878018358,36.77500672510398,0.9275762287086875,0.04035761497590779,1709,5,3.1486249268578117,0.36545479619522353,8.715989112854004,5.189539432525635,9.431572914123535,5.024449348449707,1625.872314453125,972.8543701171875,3.916879892349243,0.5437846183776855
PARD3_F1_NS,0.586963865492079,0.35016759236653644,0,,,,,,,144,26.251861141472173,25.289881098052703,24.121175314491147,22.41720962041548,0.9399733156443423,0.03994163199553296,689,64.95444085910289,38.13524829522323,60.305316436530006,34.69509799698188,0.935617580462782,0.029836231293358193,1581,5,3.12966476913346,0.3396790559554728,10.55451488494873,6.270839214324951,11.060769081115723,6.10730504989624,1718.2589111328125,1214.761962890625,3.937251329421997,0.5715595483779907
NegsiRNA_I1_CA,0.5720570882161459,0.33048121134440106,5,8.19411254969543,13.968824023885674,7.43937098905224,12.3822332036293,0.9635441059583817,0.05140463542303752,245,23.899431084028038,24.491987341585677,22.06534661079303,21.314451264521114,0.9428204070806194,0.03446270007694055,640,62.22155398950258,39.32602793600577,57.56914284424097,35.89605433542956,0.9325931778150147,0.029063051790056225,1563,5,3.125399872040947,0.33309808565059495,10.668997764587402,6.621099948883057,11.5068359375,6.484271049499512,2034.2432861328125,1263.9556884765625,4.120773792266846,0.52879399061203
CAMSAP3-2310057J16RIK_E2_NS,0.6283679538302951,0.2810923258463542,0,,,,,,,161,27.312551533129188,28.052832179375574,25.41066828550642,25.40375972679593,0.9445070366082539,0.03251690120408771,483,73.87095186581006,48.13269443858587,68.18775634221319,43.92756613277493,0.9317894797862742,0.037892573446331845,1135,5,3.1198237885462556,0.3380482523722056,10.029522895812988,5.849934101104736,10.504170417785645,5.746260166168213,1708.6005859375,1210.3245849609375,3.9209377765655518,0.578665554523468
ADD3_A1_CA,0.6891131930881076,0.23502816094292533,0,,,,,,,196,20.68611856904258,23.897104275972865,19.349294236324294,21.957422660355547,0.9457159772154743,0.03137184938051535,422,73.40782864294354,54.46653084280328,67.63282559337856,49.46717532083205,0.930106245144407,0.03468952857700094,1065,4,3.123004694835681,0.3284425975479761,9.563878059387207,6.06046724319458,10.049837112426758,5.766585826873779,1936.2674560546875,1260.7373046875,4.0236029624938965,0.5706360340118408
FYN_E2_CA,0.6296513875325521,0.27347734239366317,1,8.82842712474619,,7.071067811865476,,0.800943102542602,,193,23.466459237952666,20.738576008073682,21.816384878114636,18.68439035158537,0.9412071829437354,0.02733903756251242,482,70.35506014868069,47.08800992841726,64.79912333131313,42.38379623751364,0.9314087758566395,0.03486553562827403,1163,5,3.1324161650902838,0.3414700788777612,10.077646255493164,5.768502235412598,10.7795991897583,5.609530925750732,1853.4403076171875,1220.339111328125,4.014889240264893,0.5591300129890442
NegsiRNA_F3_NS,0.6344545152452257,0.2816115485297309,3,1.0,0.0,1.0,0.0,1.0,0.0,373,19.478677293795755,14.82517915255992,18.115147310654,13.413166291525528,0.9393152780607912,0.034475781139971524,637,52.98783469327321,39.38622372790536,48.84066695014032,35.77347844353693,0.9324810702459169,0.04102306301887275,1680,5,3.1279761904761907,0.33760811235564925,10.065759658813477,6.397847652435303,11.109188079833984,6.2968292236328125,1471.115478515625,1026.800048828125,3.767866373062134,0.610387921333313
NegsiRNA_C2_NO,0.6080140007866753,0.31142086452907985,6,11.73079605180837,14.42863581313169,10.58251626132732,13.008167414916345,0.9309238545439644,0.09794561807397527,528,18.205980593517918,13.947359142592118,17.01615553649939,12.511499948791188,0.9432490239673179,0.04199488421698534,861,45.94812465851205,34.999126142305315,42.24982666558756,31.51699874043755,0.931475716724699,0.03512172599003956,2286,5,3.1229221347331584,0.3375448384977806,9.595426559448242,5.9219207763671875,10.677682876586914,5.629438400268555,1341.84619140625,818.4838256835938,3.75356388092041,0.522861897945404
NegsiRNA_B1_CA,0.6724906497531467,0.25344255235460067,4,19.34619407771256,14.521293098560614,17.558846015417835,13.536958132305557,0.9235914332720994,0.06600071416505002,275,20.461966417833498,17.782341646960028,19.17830969557142,16.31219997543792,0.9411662943416238,0.048136940633009835,591,58.51953803799834,43.56972300434322,53.84885432886381,39.84424349835686,0.927940588239066,0.038265720370778876,1499,5,3.14342895263509,0.36905191549860916,9.47960376739502,6.685522079467773,10.02090835571289,6.534178733825684,1300.021728515625,870.1168823242188,3.6753993034362793,0.5731794238090515
NegsiRNA_D1_NS,0.66802978515625,0.2507896423339844,5,6.345584412271573,10.122057761484129,5.60594833809228,8.483317690520645,0.9695794627870044,0.06802238912032012,308,17.820559894766554,18.3457734064805,16.470813616584085,16.335521146647253,0.937112804631173,0.04435716038385421,750,56.26976285772499,41.01544826487183,51.51417197815097,36.68241226391648,0.9277738463376779,0.03893946920206529,1910,6,3.13717277486911,0.3515565485068643,7.3644585609436035,4.443292617797852,7.850393295288086,4.3519439697265625,931.4217529296875,612.9637451171875,3.337364912033081,0.6035010814666748
MYO6_D3_CA,0.6050605773925781,0.3144259982638889,0,,,,,,,288,21.281310507531796,21.18109817154807,19.7859743532463,18.944731638517126,0.9438186820369745,0.03233439275020545,650,59.13048644791823,42.68183321594864,54.50615842464096,38.64495548669537,0.9325020015241662,0.03503153326471121,1594,5,3.1292346298619824,0.3446832836501856,10.159808158874512,6.197535037994385,10.940125465393066,5.962696552276611,1641.535888671875,1017.5110473632812,3.9217615127563477,0.5441169142723083
NegsiRNA_H3_CA,0.6467234293619791,0.30688391791449654,2,1.2071067811865475,0.29289321881345254,1.2071067811865475,0.29289321881345254,1.0,0.0,233,19.591842312162278,17.707028939371792,18.313503644971657,15.504041023077956,0.9445974792081381,0.038893346640911465,679,60.85662634204401,38.92587947746829,56.306357950975645,35.50735919668658,0.9337222993768902,0.03244175886937242,1654,5,3.1305925030229744,0.3458092688046339,9.94460391998291,6.404984951019287,10.493215560913086,6.2056050300598145,1927.003662109375,1270.5863037109375,4.044419288635254,0.5492625832557678
CAMSAP3-2310057J16RIK_E2_NO,0.6134535471598307,0.3019595675998264,2,14.106601717798215,14.53553390593274,13.010864433221338,14.157500252540062,0.8638570745315993,0.1134842032001456,236,23.326617845012297,23.105850445007157,21.696800890639704,20.913661633900656,0.9406304904850253,0.04123277425369819,526,66.5783963150885,46.88567968258074,61.12051246982611,41.58237046317616,0.9303644802971427,0.0351118573435889,1296,5,3.130401234567901,0.3457883631605339,10.616704940795898,6.070206165313721,11.398419380187988,5.82357931137085,2172.798583984375,1349.7137451171875,4.150999069213867,0.5376040935516357
NegsiRNA_G1_NS,0.614638434516059,0.33087921142578125,3,20.932996624407778,16.516945832611288,18.803606486039968,14.496088254326875,0.9111808876370082,0.051417895009532366,278,18.204852812556997,14.003475199809566,17.02367459386572,12.54179630179536,0.9427516322914308,0.04753193981310425,833,55.47903297995502,34.614305866513654,51.406593697129544,31.68920775164787,0.9344407235378722,0.04103701226373771,1990,5,3.120100502512563,0.328156094046795,9.482155799865723,5.979897975921631,10.093269348144531,5.81834077835083,1216.317138671875,775.5469970703125,3.64162540435791,0.5550855398178101
